Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,Conference
Israel Mukuamu,SCAR,1,26,26.0,26,0,13,4,17,0.0,0.0,Defense,SEC
Darrell Williams,AUB,1,26,26.0,26t,1,37,37,74,1.0,8.0,Defense,SEC
Kyle Phillips,TENN,1,27,27.0,27t,1,27,28,55,4.0,37.0,Defense,SEC
Stephen Adegoke,MSST,1,29,29.0,29,0,5,4,9,0.0,0.0,Defense,SEC
Richard LeCounte III,UGA,1,29,29.0,29,0,45,29,74,0.0,0.0,Defense,SEC
Michael Divinity Jr.,LSU,1,31,31.0,31,0,20,34,54,4.0,21.0,Defense,SEC
Darrin Kirkland Jr.,TENN,1,33,33.0,33t,1,29,22,51,1.0,3.0,Defense,SEC
Tyrell Ajian,KY,1,35,35.0,35,0,5,5,10,0.0,0.0,Defense,SEC
Trey Dean III,FLA,1,44,44.0,44,0,16,10,26,0.0,0.0,Defense,SEC
Jacob Phillips,LSU,1,45,45.0,45t,1,32,55,87,1.0,6.0,Defense,SEC
Tyrel Dodson,TAMU,1,78,78.0,78t,1,42,28,70,0.5,0.0,Defense,SEC
Ventrell Miller,FLA,1,82,82.0,82t,1,8,7,15,1.0,9.0,Defense,SEC
Vernon Dasher,MISS,1,88,88.0,88t,1,18,18,36,0.0,0.0,Defense,SEC
Shawn Shamburger,TENN,0,-4,0.0,0,0,6,5,11,0.0,0.0,Defense,SEC
Micah Abernathy,TENN,0,0,0.0,0,0,22,16,38,0.0,0.0,Defense,SEC
Fletcher Adams,MSST,0,0,0.0,0,0,7,13,20,1.0,8.0,Defense,SEC
Feleti Afemui,VAN,0,0,0.0,0,0,2,0,2,0.0,0.0,Defense,SEC
Franklin Agbasimere,MIZZ,0,0,0.0,0,0,1,1,2,0.0,0.0,Defense,SEC
McTelvin Agim,ARK,0,0,0.0,0,0,19,26,45,4.5,25.0,Defense,SEC
Otaro Alaka,TAMU,0,0,0.0,0,0,39,40,79,4.0,26.0,Defense,SEC
Edwin Alexander,LSU,0,0,0.0,0,0,6,22,28,1.0,5.0,Defense,SEC
Terrence Alexander,LSU,0,0,0.0,0,0,17,6,23,0.0,0.0,Defense,SEC
