Player,Team,Int,Yds,Avg,TD,Solo,Ast,Tot,Sack,Stat Type,Conference
Lonnie Johnson,KY,1,24,24.0,0,17,6,23,0.0,Defense,SEC
Louis Vecchio,VAN,1,0,0.0,0,14,10,24,3.0,Defense,SEC
Luke Ancrum,FLA,1,5,5.0,0,0,8,8,0.0,Defense,SEC
Mack Wilson,ALA,2,0,0.0,0,36,35,71,1.0,Defense,SEC
Malik Antoine,STAN,2,36,18.0,0,36,16,52,1.0,Defense,Pac-12
Marcus Strong,WSU,3,66,22.0,0,35,7,42,2.0,Defense,Pac-12
Marquill Osborne,TENN,2,13,6.5,0,3,5,8,0.0,Defense,SEC
Marquise Blair,UTAH,2,5,2.5,0,44,15,59,0.0,Defense,Pac-12
Martin Andrus,UCLA,0,0,0.0,0,7,11,18,0.0,Defense,Pac-12
Marvell Tell III,USC,1,-4,-4.0,0,39,17,56,0.0,Defense,Pac-12
Maurice Smitherman,MSST,1,0,0.0,0,11,12,23,0.0,Defense,SEC
McTelvin Agim,ARK,0,0,0.0,0,19,26,45,4.5,Defense,SEC
Merlin Robertson,AZST,1,11,11.0,0,48,29,77,5.0,Defense,Pac-12
Micah Abernathy,TENN,0,0,0.0,0,22,16,38,0.0,Defense,SEC
Michael Alfieri,ORST,0,0,0.0,0,2,0,2,0.0,Defense,Pac-12
Michael Divinity Jr.,LSU,1,31,31.0,0,20,34,54,4.0,Defense,SEC
Mike Edwards,KY,2,79,39.5,1,56,26,82,0.0,Defense,SEC
Misiona Aiolupotea-Pei,WSU,0,0,0.0,0,6,2,8,2.5,Defense,Pac-12
Nate Landman,COL,2,24,12.0,0,65,39,104,4.0,Defense,Pac-12
Nate Meadors,UCLA,1,0,0.0,0,31,6,37,1.0,Defense,Pac-12
Nick Alftin,CAL,0,0,0.0,0,0,1,1,0.0,Defense,Pac-12
Nick Fisher,COL,1,30,30.0,0,32,11,43,0.0,Defense,Pac-12
Nick Pickett,ORE,1,0,0.0,0,34,25,59,0.0,Defense,Pac-12
Noah Igbinoghene,AUB,1,0,0.0,0,39,11,50,0.0,Defense,SEC
Otaro Alaka,TAMU,0,0,0.0,0,39,40,79,4.0,Defense,SEC
Patrick Surtain II,ALA,1,20,20.0,0,28,9,37,0.0,Defense,SEC
Paulson Adebo,STAN,4,45,11.25,0,44,19,63,0.0,Defense,Pac-12
